<!--
  【本表定位】全量附录 —— Zephyr 全库 11932 个 Kconfig 符号的机器导出结果，供按名检索。
              需要「决策」信息请看同目录 config.csv（人工精写的 作用 / 备注·约束）。
  【生成方式】由 Kconfig 树文本解析（名称/类型/定义位置/默认值/依赖/help 原文），
              叠加 build/zephyr/.config 的实际取值与手写 .conf 的设置来源。
              重新生成：python3 tools/gen_config_csv.py
  【定义位置】按 AE103 视角优先级排序：本平台(0) > arch/riscv(1) > 内核·子系统(2) > 其他平台(3) > samples/tests(4)。
              同一符号多处定义时，「|」分隔，最前面那处即主定义。
  【默认值】分两列：「主定义处」是优先级最高那处写的 default（该处没写则标注隐式默认）；
            「全部定义处」是所有平台 default 的并集，用于追查同名符号的跨平台差异。
-->
配置项,类别,类型,定义位置(Kconfig:行),默认值(主定义处),默认值(全部定义处),AE103当前值,设置来源,作用(Kconfig help 原文),依赖(depends on)
CONFIG_GPIO_NRFX_INTERRUPT,drivers/gpio,bool,drivers/gpio/Kconfig.nrfx:17,y,y,—(未定义/依赖不满足),,The option can be used to disable the GPIO interrupt support to significantly reduce memory footprint in case of application that does not need GPIO interrupts.,GPIO_NRFX
CONFIG_GPIO_NUMAKER,drivers/gpio,bool,drivers/gpio/Kconfig.numaker:6,y,y,—(未定义/依赖不满足),,This option enables the GPIO driver for Nuvoton NUMAKER family of processors.,DT_HAS_NUVOTON_NUMAKER_GPIO_ENABLED
CONFIG_GPIO_NUMICRO,drivers/gpio,bool,drivers/gpio/Kconfig.numicro:6,y,y,—(未定义/依赖不满足),,Enable the GPIO driver for the NuMicro family of processors.,DT_HAS_NUVOTON_NUMICRO_GPIO_ENABLED
CONFIG_GPIO_NXP_S32,drivers/gpio,bool,drivers/gpio/Kconfig.nxp_s32:4,y,y,—(未定义/依赖不满足),,Enable the GPIO driver for NXP S32 processors.,DT_HAS_NXP_S32_GPIO_ENABLED
CONFIG_GPIO_PCA953X,drivers/gpio,bool,drivers/gpio/Kconfig.pca953x:7,y,y,—(未定义/依赖不满足),,Enable driver for PCA953X I2C GPIO chip.,DT_HAS_TI_TCA9538_ENABLED
CONFIG_GPIO_PCA953X_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.pca953x:17,70,70,—(未定义/依赖不满足),,Device driver initialization priority.,
CONFIG_GPIO_PCA95XX,drivers/gpio,bool,drivers/gpio/Kconfig.pca95xx:6,y,y,—(未定义/依赖不满足),ecfw-zephyr/prj.conf,Enable driver for PCA95XX I2C-based GPIO chip.,DT_HAS_NXP_PCA95XX_ENABLED | I2C
CONFIG_GPIO_PCA95XX_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.pca95xx:14,70,70,—(未定义/依赖不满足),,Device driver initialization priority.,GPIO_PCA95XX
CONFIG_GPIO_PCA95XX_INTERRUPT,drivers/gpio,bool,drivers/gpio/Kconfig.pca95xx:21,n（隐式）,—,—(未定义/依赖不满足),,Enable interrupt support in PCA95XX driver. Note that the PCA95XX cannot reliably detect short-pulse interrupts due to its design.,GPIO_PCA95XX
CONFIG_GPIO_PCAL64XXA,drivers/gpio,bool,drivers/gpio/Kconfig.pcal64xxa:7,y,y,—(未定义/依赖不满足),,Enable driver for PCAL64XXA I2C GPIO chip.,DT_HAS_NXP_PCAL6408A_ENABLED || DT_HAS_NXP_PCAL6416A_ENABLED
CONFIG_GPIO_PCAL64XXA_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.pcal64xxa:15,70,70,—(未定义/依赖不满足),,Device driver initialization priority.,GPIO_PCAL64XXA
CONFIG_GPIO_PCF857X,drivers/gpio,bool,drivers/gpio/Kconfig.pcf857x:8,y,y,—(未定义/依赖不满足),,Enable driver for PCF857X I2C GPIO chip.,DT_HAS_NXP_PCF857X_ENABLED
CONFIG_GPIO_PCF857X_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.pcf857x:16,70,70,—(未定义/依赖不满足),,Device driver initialization priority.,GPIO_PCF857X
CONFIG_GPIO_PSOC6,drivers/gpio,bool,drivers/gpio/Kconfig.psoc6:4,y,y,—(未定义/依赖不满足),,Enable support for the Cypress PSoC-6 GPIO controllers.,DT_HAS_CYPRESS_PSOC6_GPIO_ENABLED
CONFIG_GPIO_RCAR,drivers/gpio,bool,drivers/gpio/Kconfig.rcar:6,y,y,—(未定义/依赖不满足),,Enable Renesas RCAR GPIO driver.,DT_HAS_RENESAS_RCAR_GPIO_ENABLED
CONFIG_GPIO_RENESAS_RA,drivers/gpio,bool,drivers/gpio/Kconfig.renesas_ra:4,y,y,—(未定义/依赖不满足),,Enable Renesas RA series GPIO driver.,DT_HAS_RENESAS_RA_GPIO_ENABLED
CONFIG_GPIO_RPI_PICO,drivers/gpio,bool,drivers/gpio/Kconfig.rpi_pico:4,y,y,—(未定义/依赖不满足),,,DT_HAS_RASPBERRYPI_PICO_GPIO_ENABLED
CONFIG_GPIO_RT1718S,drivers/gpio,bool,drivers/gpio/Kconfig.rt1718s:6,y,y,—(未定义/依赖不满足),,Enable driver GPIO for RT1718S I2C-based TCPC chip.,DT_HAS_RICHTEK_RT1718S_GPIO_PORT_ENABLED
CONFIG_GPIO_RT1718S_INTERRUPT,drivers/gpio,bool,drivers/gpio/Kconfig.rt1718s:29,n（隐式）,—,—(未定义/依赖不满足),,Enable support for handling RT1718S Alert with a GPIO interrupt connected from the chip.,
CONFIG_GPIO_RT1718S_PORT_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.rt1718s:22,61,61,—(未定义/依赖不满足),,RT1718S GPIO driver initialization priority. The priority should be lower than I2C & RT1718S_INIT_PRIORITY device.,
CONFIG_GPIO_RV32M1,drivers/gpio,bool,drivers/gpio/Kconfig.rv32m1:6,y,y,—(未定义/依赖不满足),,Enable the RV32M1 GPIO driver.,DT_HAS_OPENISA_RV32M1_GPIO_ENABLED
CONFIG_GPIO_RZT2M,drivers/gpio,bool,drivers/gpio/Kconfig.rzt2m:4,y,y,—(未定义/依赖不满足),,Enable Renesas RZT2M GPIO driver.,DT_HAS_RENESAS_RZT2M_GPIO_ENABLED
CONFIG_GPIO_SAM,drivers/gpio,bool,drivers/gpio/Kconfig.sam:7,y,y,—(未定义/依赖不满足),,Enable support for the Atmel SAM 'PORT' GPIO controllers.,DT_HAS_ATMEL_SAM_GPIO_ENABLED
CONFIG_GPIO_SAM0,drivers/gpio,bool,drivers/gpio/Kconfig.sam0:6,y,y,—(未定义/依赖不满足),,Enable support for the Atmel SAM0 'PORT' GPIO controllers.,DT_HAS_ATMEL_SAM0_GPIO_ENABLED
CONFIG_GPIO_SAM4L,drivers/gpio,bool,drivers/gpio/Kconfig.sam:14,y,y,—(未定义/依赖不满足),,Enable support for the Atmel SAM4L 'PORT' GPIO controllers.,DT_HAS_ATMEL_SAM4L_GPIO_ENABLED
CONFIG_GPIO_SC18IM704,drivers/gpio,bool,drivers/gpio/Kconfig.sc18im704:4,y,y,—(未定义/依赖不满足),,Enables NXP SC18IM704 GPIO controller driver,I2C_SC18IM704 | DT_HAS_NXP_SC18IM704_GPIO_ENABLED
CONFIG_GPIO_SC18IM704_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.sc18im704:12,52,52,—(未定义/依赖不满足),,SC18IM704 GPIO controller initialization priority. Note: Has to be greater than the parent SC18IM704 bridge initialization priority.,GPIO_SC18IM704
CONFIG_GPIO_SEDI,drivers/gpio,bool,drivers/gpio/Kconfig.sedi:7,y,y,—(未定义/依赖不满足),,This option enables Intel SEDI GPIO driver. This driver is simply a shim driver built upon the SEDI bare metal GPIO driver in hal-intel module.,DT_HAS_INTEL_SEDI_GPIO_ENABLED
CONFIG_GPIO_SHELL,drivers/gpio,bool,drivers/gpio/Kconfig:17,n（隐式）,—,—(未定义/依赖不满足),,Enable GPIO Shell for testing.,SHELL
CONFIG_GPIO_SHELL_BLINK_CMD,drivers/gpio,bool,drivers/gpio/Kconfig:32,y,y,—(未定义/依赖不满足),,Enable GPIO Shell blink command. This command provides a shell user the ability to 'blink' a pin at 1Hz.,GPIO_SHELL
CONFIG_GPIO_SHELL_INFO_CMD,drivers/gpio,bool,drivers/gpio/Kconfig:23,y,y,—(未定义/依赖不满足),,Enable GPIO Shell information command. This command provides a shell user extra information about gpio controller reserved pins and line names.,GPIO_SHELL
CONFIG_GPIO_SIFIVE,drivers/gpio,bool,drivers/gpio/Kconfig.sifive:6,y,y,—(未定义/依赖不满足),,Enable driver for the SiFive Freedom GPIO controller. Says n if not sure.,DT_HAS_SIFIVE_GPIO0_ENABLED
CONFIG_GPIO_SMARTBOND,drivers/gpio,bool,drivers/gpio/Kconfig.smartbond:4,y,y,—(未定义/依赖不满足),,Enable GPIO driver for Renesas SmartBond(tm) MCU family.,DT_HAS_RENESAS_SMARTBOND_GPIO_ENABLED
CONFIG_GPIO_SN74HC595,drivers/gpio,bool,drivers/gpio/Kconfig.sn74hc595:4,y,y,—(未定义/依赖不满足),,Use SN74HC595 as GPIO extender,DT_HAS_TI_SN74HC595_ENABLED | SPI
CONFIG_GPIO_SN74HC595_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.sn74hc595:14,71,71,—(未定义/依赖不满足),,Device driver initialization priority.,
CONFIG_GPIO_SNPS_CREG,drivers/gpio,bool,drivers/gpio/Kconfig.creg_gpio:6,y,y,—(未定义/依赖不满足),,Enable driver for SNPS CREG GPIO.,DT_HAS_SNPS_CREG_GPIO_ENABLED
CONFIG_GPIO_STELLARIS,drivers/gpio,bool,drivers/gpio/Kconfig.stellaris:6,y,y,—(未定义/依赖不满足),,Enable support for the Stellaris GPIO controllers.,DT_HAS_TI_STELLARIS_GPIO_ENABLED
CONFIG_GPIO_STM32,drivers/gpio,bool,drivers/gpio/Kconfig.stm32:6,y,y,—(未定义/依赖不满足),,Enable GPIO driver for STM32 line of MCUs,DT_HAS_ST_STM32_GPIO_ENABLED
CONFIG_GPIO_STMPE1600,drivers/gpio,bool,drivers/gpio/Kconfig.stmpe1600:6,y,y,—(未定义/依赖不满足),,Enable driver for STMPE1600 I2C-based GPIO chip.,DT_HAS_ST_STMPE1600_ENABLED | I2C
CONFIG_GPIO_STMPE1600_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.stmpe1600:14,70,70,—(未定义/依赖不满足),,Device driver initialization priority.,GPIO_STMPE1600
CONFIG_GPIO_SX1509B,drivers/gpio,bool,drivers/gpio/Kconfig.sx1509b:6,y,y,—(未定义/依赖不满足),,Enable driver for SX1509B I2C GPIO chip.,DT_HAS_SEMTECH_SX1509B_ENABLED
CONFIG_GPIO_SX1509B_DEBOUNCE_TIME,drivers/gpio,int,drivers/gpio/Kconfig.sx1509b:27,0,0,—(未定义/依赖不满足),,"Debounce time interval when debounce enabled. A value V produces a multiplier of 0.5 ms * 2^V, which is then scaled by 2 MHz / fOSC.  See the datasheet for details.",
CONFIG_GPIO_SX1509B_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.sx1509b:16,70,70,—(未定义/依赖不满足),,Device driver initialization priority.,
CONFIG_GPIO_SX1509B_INTERRUPT,drivers/gpio,bool,drivers/gpio/Kconfig.sx1509b:22,n（隐式）,—,—(未定义/依赖不满足),,Enable support for interrupts on GPIO pins.,
CONFIG_GPIO_TCA6424A,drivers/gpio,bool,drivers/gpio/Kconfig.tca6424a:6,y,y,—(未定义/依赖不满足),,Enable driver for TCA6424A IO expander chip.,DT_HAS_TI_TCA6424A_ENABLED | I2C
CONFIG_GPIO_TCA6424A_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.tca6424a:14,70,70,—(未定义/依赖不满足),,Device driver initialization priority.,GPIO_TCA6424A
CONFIG_GPIO_TELINK_B91,drivers/gpio,bool,drivers/gpio/Kconfig.b91:6,y,y,—(未定义/依赖不满足),,Enable the B91 GPIO driver.,DT_HAS_TELINK_B91_GPIO_ENABLED
CONFIG_GPIO_TEST,drivers/gpio,,drivers/gpio/Kconfig.test:7,—,—,—(未定义/依赖不满足),,,DT_HAS_VND_GPIO_ENABLED
CONFIG_GPIO_TLE9104,drivers/gpio,bool,drivers/gpio/Kconfig.tle9104:6,y,y,—(未定义/依赖不满足),,Enable driver for TLE9104 SPI-based powertrain switch.,DT_HAS_INFINEON_TLE9104_ENABLED | SPI
CONFIG_GPIO_TLE9104_INIT_PRIORITY,drivers/gpio,int,drivers/gpio/Kconfig.tle9104:14,75,75,—(未定义/依赖不满足),,Device driver initialization priority.,GPIO_TLE9104
CONFIG_GPIO_XEC,drivers/gpio,bool,drivers/gpio/Kconfig.xec:6,y,y,—(未定义/依赖不满足),,Enable the Microchip XEC gpio driver.,DT_HAS_MICROCHIP_XEC_GPIO_ENABLED
CONFIG_GPIO_XEC_V2,drivers/gpio,bool,drivers/gpio/Kconfig.xec:13,y,y,—(未定义/依赖不满足),,Enable the Microchip XEC gpio V2 driver.,DT_HAS_MICROCHIP_XEC_GPIO_V2_ENABLED
CONFIG_GPIO_XLNX_AXI,drivers/gpio,bool,drivers/gpio/Kconfig.xlnx:6,y,y,—(未定义/依赖不满足),,Enable Xilinx AXI GPIO v2 driver.,DT_HAS_XLNX_XPS_GPIO_1_00_A_ENABLED
CONFIG_GPIO_XLNX_PS,drivers/gpio,bool,drivers/gpio/Kconfig.xlnx_ps:9,y,y,—(未定义/依赖不满足),,Enable the Xilinx Processor System MIO / EMIO GPIO controller driver.,DT_HAS_XLNX_PS_GPIO_ENABLED | !QEMU_TARGET
CONFIG_GPIO_XMC4XXX,drivers/gpio,bool,drivers/gpio/Kconfig.xmc4xxx:6,y,y,—(未定义/依赖不满足),,Enable GPIO driver for XMC4XXX line of MCUs,DT_HAS_INFINEON_XMC4XXX_GPIO_ENABLED
CONFIG_GPROF,subsys/debug,bool,subsys/debug/Kconfig:104,n（隐式）,—,—(未定义/依赖不满足),,Generate call graph profile data for the application that can be analyzed with gprof,ARCH_POSIX
CONFIG_GP_ALL_DATA,arch/nios2,bool,arch/nios2/Kconfig:86,n（隐式）,—,—(未定义/依赖不满足),,"Use GP relative access for all data in the program, not just small data. Use this if your board has 64K or less of RAM.",
CONFIG_GP_GLOBAL,arch/nios2,bool,arch/nios2/Kconfig:77,n（隐式）,—,—(未定义/依赖不满足),,Use global pointer relative offsets for small globals declared anywhere in the executable. Note that if any small globals that are put in alternate sections they must be declared in headers with proper __attribute__((section)) or the linker will error out.,
CONFIG_GP_LOCAL,arch/nios2,bool,arch/nios2/Kconfig:71,n（隐式）,—,—(未定义/依赖不满足),,Use global pointer relative offsets for small globals declared in the same C file as the code that uses it.,
CONFIG_GP_NONE,arch/nios2,bool,arch/nios2/Kconfig:66,n（隐式）,—,—(未定义/依赖不满足),,Do not use global pointer relative offsets at all,
CONFIG_GROVE_LCD_RGB,drivers/misc,bool,drivers/misc/grove_lcd_rgb/Kconfig:4,n（隐式）,—,n(未启用),,Setting this value will enable driver support for the Groove-LCD RGB Backlight.,
CONFIG_GROVE_LIGHT_SENSOR,drivers/sensor,bool,drivers/sensor/grove/Kconfig:15,y,y,—(未定义/依赖不满足),,Setting this value will enable driver support for the Grove Light Sensor.,DT_HAS_SEEED_GROVE_LIGHT_ENABLED | ADC && !MINIMAL_LIBC
CONFIG_GROVE_SENSORS,drivers/sensor,bool,drivers/sensor/grove/Kconfig:6,y,y,—(未定义/依赖不满足),,Enable Seeed Grove sensors support.,DT_HAS_SEEED_GROVE_LIGHT_ENABLED || DT_HAS_SEEED_GROVE_TEMPERATURE_ENABLED
CONFIG_GROVE_TEMPERATURE_SENSOR,drivers/sensor,bool,drivers/sensor/grove/Kconfig:24,y,y,—(未定义/依赖不满足),,Setting this value will enable driver support for the Grove Temperature Sensor.,DT_HAS_SEEED_GROVE_TEMPERATURE_ENABLED | ADC && !MINIMAL_LIBC
CONFIG_GROW_R502A,drivers/sensor,bool,drivers/sensor/grow_r502a/Kconfig:6,y,y,—(未定义/依赖不满足),,Enable driver for GROW_R502A Fingerprint Sensor.,DT_HAS_HZGROW_R502A_ENABLED | UART_INTERRUPT_DRIVEN && SERIAL
CONFIG_GROW_R502A_GPIO_POWER,drivers/sensor,bool,drivers/sensor/grow_r502a/Kconfig:55,n（隐式）,—,—(未定义/依赖不满足),,Enable control of vin-gpios and act-gpios.,
CONFIG_GROW_R502A_THREAD_PRIORITY,drivers/sensor,int,drivers/sensor/grow_r502a/Kconfig:41,10,10,—(未定义/依赖不满足),,Priority of thread used by the driver to handle interrupts.,GROW_R502A_TRIGGER_OWN_THREAD && GROW_R502A_TRIGGER
CONFIG_GROW_R502A_THREAD_STACK_SIZE,drivers/sensor,int,drivers/sensor/grow_r502a/Kconfig:48,1024,1024,—(未定义/依赖不满足),,Stack size of thread used by the driver to handle interrupts.,GROW_R502A_TRIGGER_OWN_THREAD && GROW_R502A_TRIGGER
CONFIG_GROW_R502A_TRIGGER,drivers/sensor,bool,drivers/sensor/grow_r502a/Kconfig:38,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_GROW_R502A_TRIGGER_GLOBAL_THREAD,drivers/sensor,bool,drivers/sensor/grow_r502a/Kconfig:25,n（隐式）,—,—(未定义/依赖不满足),,,GPIO
CONFIG_GROW_R502A_TRIGGER_NONE,drivers/sensor,bool,drivers/sensor/grow_r502a/Kconfig:22,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_GROW_R502A_TRIGGER_OWN_THREAD,drivers/sensor,bool,drivers/sensor/grow_r502a/Kconfig:30,n（隐式）,—,—(未定义/依赖不满足),,,GPIO
CONFIG_GSM_MUX,drivers/console,bool,drivers/console/Kconfig.gsm_mux:4,n（隐式）,—,n(未启用),,Enable GSM 07.10 muxing protocol defined in https://www.etsi.org/deliver/etsi_ts/101300_101399/101369/07.01.00_60/ts_101369v070100p.pdf The muxing protocol allows GSM modem to share the same UART for both the PPP data and AT commands.,
CONFIG_GSM_MUX_DLCI_AT,drivers/console,int,drivers/console/Kconfig.gsm_mux:33,2 if MODEM_GSM_SIMCOM | 1,2 if MODEM_GSM_SIMCOM | 1,—(未定义/依赖不满足),,Channel number for the AT commands to the modem.,GSM_MUX
CONFIG_GSM_MUX_DLCI_MAX,drivers/console,int,drivers/console/Kconfig.gsm_mux:22,3,3,—(未定义/依赖不满足),,"For our purposes we will manage with 3 DLCI (control, ppp, and AT commands) so making it the default value. If GSM modem also provides GNSS (location) services and you want to create a DLCI for it, then you need to increase this to 4.",GSM_MUX
CONFIG_GSM_MUX_DLCI_PPP,drivers/console,int,drivers/console/Kconfig.gsm_mux:42,1 if MODEM_GSM_SIMCOM | 2,1 if MODEM_GSM_SIMCOM | 2,—(未定义/依赖不满足),,"Channel number for the PPP connection to the modem. SIMCOM modem has 16kb buffer for DLCI 1 so the manual recommends it for PPP traffic. For other DLCIs in that modem, the buffer size is only 1kb.",GSM_MUX
CONFIG_GSM_MUX_INITIATOR,drivers/console,bool,drivers/console/Kconfig.gsm_mux:85,y,y,—(未定义/依赖不满足),,Default value when deciding whether we are the initiator of the connection attempt. Normally this should be enabled.,GSM_MUX
CONFIG_GSM_MUX_MAX,drivers/console,int,drivers/console/Kconfig.gsm_mux:14,1,1,—(未定义/依赖不满足),,Usually we only need one GSM mux instance. You need to increase this if you have more than one GSM modems.,GSM_MUX
CONFIG_GSM_MUX_MRU_DEFAULT_LEN,drivers/console,int,drivers/console/Kconfig.gsm_mux:62,127 if MODEM_GSM_SIMCOM | 127 if MODEM_GSM_QUECTEL | 31,127 if MODEM_GSM_SIMCOM | 127 if MODEM_GSM_QUECTEL | 31,—(未定义/依赖不满足),,Default MRU (Maximum Receive Unit) data size. The default value for Basic mode is 31 bytes. The 1509 limit comes from ublox-sara modem and it means we can transfer full Ethernet sized frame and muxing headers.,GSM_MUX
CONFIG_GSM_MUX_MRU_MAX_LEN,drivers/console,int,drivers/console/Kconfig.gsm_mux:75,255 if MODEM_GSM_SIMCOM | 128,255 if MODEM_GSM_SIMCOM | 128,—(未定义/依赖不满足),,Max MRU (Maximum Receive Unit) data size. The default max value for Basic mode is 128 bytes.,GSM_MUX
CONFIG_GSM_MUX_PENDING_CMD_MAX,drivers/console,int,drivers/console/Kconfig.gsm_mux:54,2,2,—(未定义/依赖不满足),,How many pending GSM mux commands can exists.,GSM_MUX
CONFIG_GSM_MUX_T1_TIMEOUT,drivers/console,int,drivers/console/Kconfig.gsm_mux:93,0,0,—(未定义/依赖不满足),,T1 timeout is initial command timeout when establishing the connection. The value is in milliseconds. Zero value means that default (100 ms) specified in the code is used.,GSM_MUX
CONFIG_GSM_MUX_VERBOSE_DEBUG,drivers/console,bool,drivers/console/Kconfig.gsm_mux:111,n（隐式）,—,—(未定义/依赖不满足),,"As there might be lot of debug output printed, only enable this if really needed.",GSM_MUX_LOG_LEVEL_DBG
CONFIG_GSM_PPP_AUTOSTART,drivers/modem,bool,drivers/modem/Kconfig.gsm:87,y,y,—(未定义/依赖不满足),,"This setting lets driver connect to network and initialize PPP at boot. Unselect this if you want to run application code before modem connects to network. See contents of ""drivers/gsm_ppp.h"" to get an idea of the API.",
CONFIG_HAP_HA_HEARING_AID_BANDED,samples/bluetooth,bool,samples/bluetooth/hap_ha/Kconfig:34,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_HAP_HA_HEARING_AID_BINAURAL,samples/bluetooth,bool,samples/bluetooth/hap_ha/Kconfig:30,n（隐式）,—,—(未定义/依赖不满足),,,BT_CSIP_SET_MEMBER
CONFIG_HAP_HA_HEARING_AID_LEFT,samples/bluetooth,bool,samples/bluetooth/hap_ha/Kconfig:44,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_HAP_HA_HEARING_AID_MONAURAL,samples/bluetooth,bool,samples/bluetooth/hap_ha/Kconfig:27,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_HAP_HA_HEARING_AID_RIGHT,samples/bluetooth,bool,samples/bluetooth/hap_ha/Kconfig:47,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_HAP_HA_SET_RANK,samples/bluetooth,int,samples/bluetooth/hap_ha/Kconfig:15,0（隐式）,—,—(未定义/依赖不满足),,Rank of this device in set.,BT_CSIP_SET_MEMBER
CONFIG_HARDWARE_DEVICE_CS_GENERATOR,subsys/random,bool,subsys/random/Kconfig:98,n（隐式）,—,—(未定义/依赖不满足),,Enables a cryptographically secure random number generator that uses the enabled hardware random number driver to generate random numbers.,ENTROPY_HAS_DRIVER
CONFIG_HARVARD,arch/arc,bool,arch/arc/Kconfig:274 | soc/arc/snps_arc_iot/Kconfig.defconfig:31 | soc/arc/snps_emsdp/Kconfig.defconfig.em11d:18 | soc/arc/snps_emsdp/Kconfig.defconfig.em4:18 | soc/arc/snps_emsdp/Kconfig.defconfig.em5d:18 | soc/arc/snps_emsdp/Kconfig.defconfig.em6:18 | soc/arc/snps_emsdp/Kconfig.defconfig.em7d:18 | soc/arc/snps_emsdp/Kconfig.defconfig.em7d_esp:18 | soc/arc/snps_emsdp/Kconfig.defconfig.em9d:18 | soc/arc/snps_emsk/Kconfig.defconfig.em11d:26 | soc/arc/snps_emsk/Kconfig.defconfig.em7d:31 | soc/arc/snps_emsk/Kconfig.defconfig.em9d:26 | soc/arc/snps_nsim/Kconfig.defconfig.em:27 | soc/arc/snps_nsim/Kconfig.defconfig.em11d:27 | soc/arc/snps_nsim/Kconfig.defconfig.em7d_v22:27 | soc/arc/snps_nsim/Kconfig.defconfig.hs:24 | soc/arc/snps_nsim/Kconfig.defconfig.hs_mpuv6:30 | soc/arc/snps_nsim/Kconfig.defconfig.sem:27 | soc/arc/snps_nsim/Kconfig.defconfig.vpx5:24,n（隐式）,y | n,—(未定义/依赖不满足),,The ARC CPU can be configured to have two busses; one for instruction fetching and another that serves as a data bus.,
CONFIG_HAS_ALTERA_HAL,modules/Kconfig.altera,bool,modules/Kconfig.altera:6,n（隐式）,—,—(未定义/依赖不满足),,,NIOS2
CONFIG_HAS_ARM_SMCCC,arch/arm64,bool,arch/arm64/core/Kconfig:82,n（隐式）,—,—(未定义/依赖不满足),,Include support for the Secure Monitor Call (SMC) and Hypervisor Call (HVC) instructions on Armv7 and above architectures.,
CONFIG_HAS_CC13X2X7_CC26X2X7_SDK,modules/Kconfig.simplelink,bool,modules/Kconfig.simplelink:33,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_HAS_CC13X2_CC26X2_SDK,modules/Kconfig.simplelink,bool,modules/Kconfig.simplelink:30,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_HAS_CC3220SDK,modules/Kconfig.simplelink,bool,modules/Kconfig.simplelink:3,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_HAS_CMSIS_CORE,modules/cmsis,bool,modules/cmsis/Kconfig:7,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_HAS_CMSIS_CORE_A,modules/cmsis,bool,modules/cmsis/Kconfig:15,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_HAS_CMSIS_CORE_M,modules/cmsis,bool,modules/cmsis/Kconfig:21,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_HAS_CMSIS_CORE_R,modules/cmsis,bool,modules/cmsis/Kconfig:18,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_HAS_COVERAGE_SUPPORT,subsys/testsuite,bool,subsys/testsuite/Kconfig:27,n（隐式）,—,—(未定义/依赖不满足),,"The code coverage report generation is only available on boards with enough spare RAM to buffer the coverage data, or on boards based on the POSIX ARCH.",
CONFIG_HAS_CYPRESS_DRIVERS,modules/Kconfig.cypress,bool,modules/Kconfig.cypress:4,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_HAS_DIV_INSTRUCTION,arch/nios2,bool,arch/nios2/Kconfig:38,n（隐式）,—,—(未定义/依赖不满足),,,
CONFIG_HAS_ESPRESSIF_HAL,modules/Kconfig.esp32,bool,modules/Kconfig.esp32:4,n（隐式）,—,—(未定义/依赖不满足),,,SOC_FAMILY_ESP32
CONFIG_HAS_FLASH_LOAD_OFFSET,Kconfig.zephyr,bool,Kconfig.zephyr:82 | boards/riscv/hifive1_revb/Kconfig.defconfig:9 | boards/riscv/sparkfun_red_v_things_plus/Kconfig.defconfig:9 | soc/riscv/telink_tlsr/tlsr951x/Kconfig.defconfig.series:48,n（隐式）,y | y if BOOTLOADER_MCUBOOT,—(未定义/依赖不满足),,This option is selected by targets having a FLASH_LOAD_OFFSET and FLASH_LOAD_SIZE.,
